course,module,rubric_path,criteria_count,used_default_criteria,criteria_sample
10-hybrid-vehicle-systems,week-03-components,content\courses\10-hybrid-vehicle-systems\modules\week-03-components\rubric.md,1,no,(list objectives for Hybrid Vehicle Systems)
10-hybrid-vehicle-systems,week-04-diagnostics,content\courses\10-hybrid-vehicle-systems\modules\week-04-diagnostics\rubric.md,1,no,(list objectives for Hybrid Vehicle Systems)
10-hybrid-vehicle-systems,week-05-service-procedures,content\courses\10-hybrid-vehicle-systems\modules\week-05-service-procedures\rubric.md,1,no,(list objectives for Hybrid Vehicle Systems)
10-hybrid-vehicle-systems,week-06-review,content\courses\10-hybrid-vehicle-systems\modules\week-06-review\rubric.md,1,no,(list objectives for Hybrid Vehicle Systems)
11-ev-battery-technology,week-01-introduction,content\courses\11-ev-battery-technology\modules\week-01-introduction\rubric.md,1,no,(list objectives for EV Battery Technology)
11-ev-battery-technology,week-02-fundamentals,content\courses\11-ev-battery-technology\modules\week-02-fundamentals\rubric.md,1,no,(list objectives for EV Battery Technology)
11-ev-battery-technology,week-03-components,content\courses\11-ev-battery-technology\modules\week-03-components\rubric.md,1,no,(list objectives for EV Battery Technology)
11-ev-battery-technology,week-04-diagnostics,content\courses\11-ev-battery-technology\modules\week-04-diagnostics\rubric.md,1,no,(list objectives for EV Battery Technology)
11-ev-battery-technology,week-05-service-procedures,content\courses\11-ev-battery-technology\modules\week-05-service-procedures\rubric.md,1,no,(list objectives for EV Battery Technology)
11-ev-battery-technology,week-06-review,content\courses\11-ev-battery-technology\modules\week-06-review\rubric.md,1,no,(list objectives for EV Battery Technology)
12-virtual-lab-safety-tools,week-01-introduction,content\courses\12-virtual-lab-safety-tools\modules\week-01-introduction\rubric.md,1,no,(list objectives for Virtual Lab Safety & Tools)
12-virtual-lab-safety-tools,week-02-fundamentals,content\courses\12-virtual-lab-safety-tools\modules\week-02-fundamentals\rubric.md,1,no,(list objectives for Virtual Lab Safety & Tools)
12-virtual-lab-safety-tools,week-03-components,content\courses\12-virtual-lab-safety-tools\modules\week-03-components\rubric.md,1,no,(list objectives for Virtual Lab Safety & Tools)
12-virtual-lab-safety-tools,week-04-diagnostics,content\courses\12-virtual-lab-safety-tools\modules\week-04-diagnostics\rubric.md,1,no,(list objectives for Virtual Lab Safety & Tools)
12-virtual-lab-safety-tools,week-05-service-procedures,content\courses\12-virtual-lab-safety-tools\modules\week-05-service-procedures\rubric.md,1,no,(list objectives for Virtual Lab Safety & Tools)
12-virtual-lab-safety-tools,week-06-review,content\courses\12-virtual-lab-safety-tools\modules\week-06-review\rubric.md,1,no,(list objectives for Virtual Lab Safety & Tools)
13-virtual-diagnostic-procedures,week-01-introduction,content\courses\13-virtual-diagnostic-procedures\modules\week-01-introduction\rubric.md,1,no,(list objectives for Virtual Diagnostic Procedures)
13-virtual-diagnostic-procedures,week-02-fundamentals,content\courses\13-virtual-diagnostic-procedures\modules\week-02-fundamentals\rubric.md,1,no,(list objectives for Virtual Diagnostic Procedures)
13-virtual-diagnostic-procedures,week-03-components,content\courses\13-virtual-diagnostic-procedures\modules\week-03-components\rubric.md,1,no,(list objectives for Virtual Diagnostic Procedures)
13-virtual-diagnostic-procedures,week-04-diagnostics,content\courses\13-virtual-diagnostic-procedures\modules\week-04-diagnostics\rubric.md,1,no,(list objectives for Virtual Diagnostic Procedures)
13-virtual-diagnostic-procedures,week-05-service-procedures,content\courses\13-virtual-diagnostic-procedures\modules\week-05-service-procedures\rubric.md,1,no,(list objectives for Virtual Diagnostic Procedures)
